"","Year","Month","Day","Country","dengue_cases"
"532",2004,3,7,"Brazil",96
"533",2004,3,7,"India",23
"534",2004,3,7,"Indonesia",8
"535",2004,3,7,"Mexico",36
"536",2004,3,7,"Philippines",7
"537",2004,3,7,"Singapore",161
"538",2004,3,7,"Venezuela",188
"539",2004,3,14,"Argentina",53
"540",2004,3,14,"Bolivia",23
"541",2004,3,14,"Brazil",71
"542",2004,3,14,"India",39
"543",2004,3,14,"Indonesia",521
"544",2004,3,14,"Mexico",4
"545",2004,3,14,"Philippines",65
"546",2004,3,14,"Singapore",164
"547",2004,3,14,"Venezuela",183
"548",2004,3,21,"Argentina",65
"549",2004,3,21,"Bolivia",37
"550",2004,3,21,"Brazil",85
"551",2004,3,21,"India",23
"552",2004,3,21,"Indonesia",424
"553",2004,3,21,"Mexico",47
"554",2004,3,21,"Philippines",6
"555",2004,3,21,"Singapore",135
"556",2004,3,21,"Venezuela",184
"557",2004,3,28,"Argentina",63
"558",2004,3,28,"Bolivia",56
"559",2004,3,28,"Brazil",96
"560",2004,3,28,"India",26
"561",2004,3,28,"Indonesia",205
"562",2004,3,28,"Mexico",52
"563",2004,3,28,"Philippines",6
"564",2004,3,28,"Singapore",17
"565",2004,3,28,"Venezuela",168
"566",2004,4,4,"Argentina",46
"567",2004,4,4,"Bolivia",42
"568",2004,4,4,"Brazil",71
"569",2004,4,4,"India",37
"570",2004,4,4,"Indonesia",262
"571",2004,4,4,"Mexico",51
"572",2004,4,4,"Philippines",57
"573",2004,4,4,"Singapore",149
"574",2004,4,4,"Venezuela",176
"575",2004,4,11,"Argentina",41
"576",2004,4,11,"Bolivia",35
"577",2004,4,11,"Brazil",54
"578",2004,4,11,"India",27
"579",2004,4,11,"Indonesia",212
"580",2004,4,11,"Mexico",51
"581",2004,4,11,"Philippines",58
"582",2004,4,11,"Singapore",127
"583",2004,4,11,"Venezuela",162
"584",2004,4,18,"Argentina",36
"585",2004,4,18,"Bolivia",4
"586",2004,4,18,"Brazil",67
"587",2004,4,18,"India",31
"588",2004,4,18,"Indonesia",186
"589",2004,4,18,"Mexico",49
"590",2004,4,18,"Philippines",57
"591",2004,4,18,"Singapore",118
"592",2004,4,18,"Venezuela",162
"593",2004,4,25,"Argentina",41
"594",2004,4,25,"Bolivia",45
"595",2004,4,25,"Brazil",27
"596",2004,4,25,"India",19
"597",2004,4,25,"Indonesia",151
"598",2004,4,25,"Mexico",44
"599",2004,4,25,"Philippines",56
"600",2004,4,25,"Singapore",127
"601",2004,4,25,"Venezuela",187
"602",2004,5,2,"Argentina",41
"603",2004,5,2,"Bolivia",51
"604",2004,5,2,"Brazil",39
"605",2004,5,2,"India",16
"606",2004,5,2,"Indonesia",142
"607",2004,5,2,"Mexico",38
"608",2004,5,2,"Philippines",54
"609",2004,5,2,"Singapore",15
"610",2004,5,2,"Venezuela",206
"611",2004,5,9,"Argentina",41
"612",2004,5,9,"Bolivia",49
"613",2004,5,9,"Brazil",43
"614",2004,5,9,"India",21
"615",2004,5,9,"Indonesia",127
"616",2004,5,9,"Mexico",51
"617",2004,5,9,"Philippines",53
"618",2004,5,9,"Singapore",138
"619",2004,5,9,"Venezuela",259
"620",2004,5,16,"Argentina",36
"621",2004,5,16,"Bolivia",32
"622",2004,5,16,"Brazil",31
"623",2004,5,16,"India",37
"624",2004,5,16,"Indonesia",139
"625",2004,5,16,"Mexico",6
"626",2004,5,16,"Philippines",56
"627",2004,5,16,"Singapore",12
"628",2004,5,16,"Venezuela",236
"629",2004,5,23,"Argentina",36
"630",2004,5,23,"Bolivia",26
"631",2004,5,23,"Brazil",4
"632",2004,5,23,"India",29
"633",2004,5,23,"Indonesia",98
"634",2004,5,23,"Mexico",114
"635",2004,5,23,"Philippines",55
"636",2004,5,23,"Singapore",161
"637",2004,5,23,"Venezuela",202
"638",2004,5,30,"Argentina",39
"639",2004,5,30,"Bolivia",32
"640",2004,5,30,"Brazil",3
"641",2004,5,30,"India",37
